Classe,Filiere,Specialite,Matieres,Heures


Seconde,Aucune,Aucune,Maths,4
Seconde,Aucune,Aucune,Francais,4
Seconde,Aucune,Aucune,Histoire,1
Seconde,Aucune,Aucune,Geographie,1
Seconde,Aucune,Aucune,EMC,4
Seconde,Aucune,Aucune,LV2,2
Seconde,Aucune,Aucune,LV1,3
Seconde,Aucune,Aucune,SVT,2
Seconde,Aucune,Aucune,Physique-Chimie,3
Seconde,Aucune,Aucune,EPS,2


Premiere,S,Aucune,Maths,4
Premiere,S,Aucune,Francais,4
Premiere,S,Aucune,LV1,2
Premiere,S,Aucune,LV2,2
Premiere,S,Aucune,EPS,2
Premiere,S,Aucune,EMC,1
Premiere,S,Aucune,TPE,2
Premiere,S,Aucune,Physique-Chimie,3
Premiere,S,Aucune,SVT,3
Premiere,S,Aucune,Histoire,2
Premiere,S,Aucune,Geographie,2

Premiere,ES,Aucune,Maths,3
Premiere,ES,Aucune,Francais,4
Premiere,ES,Aucune,LV1,2
Premiere,ES,Aucune,LV2,2
Premiere,ES,Aucune,EPS,2
Premiere,ES,Aucune,EMC,1
Premiere,ES,Aucune,TPE,2
Premiere,ES,Aucune,SES,5
Premiere,ES,Aucune,Histoire,2
Premiere,ES,Aucune,Geographie,2
Premiere,ES,Aucune,Sciences,2

Premiere,L,Aucune,Francais,4
Premiere,L,Aucune,LV1,2
Premiere,L,Aucune,LV2,2
Premiere,L,Aucune,EPS,2
Premiere,L,Aucune,EMC,1
Premiere,L,Aucune,TPE,2
Premiere,L,Aucune,Litterature,2
Premiere,L,Aucune,Litterature_Etrangere,2
Premiere,L,Aucune,Histoire,2
Premiere,L,Aucune,Geographie,2
Premiere,L,Aucune,Sciences,2




Terminale,S,spe_Maths,Maths,6
Terminale,S,spe_Maths,LV1,2
Terminale,S,spe_Maths,LV2,2
Terminale,S,spe_Maths,EPS,2
Terminale,S,spe_Maths,EMC,1
Terminale,S,spe_Maths,Physique-Chimie,5
Terminale,S,spe_Maths,SVT,4
Terminale,S,spe_Maths,Philo,3
Terminale,S,spe_Maths,Histoire,1
Terminale,S,spe_Maths,Geographie,1
Terminale,S,spe_Maths,spe_Maths,2

Terminale,S,spe_SVT,Maths,6
Terminale,S,spe_SVT,LV1,2
Terminale,S,spe_SVT,LV2,2
Terminale,S,spe_SVT,EPS,2
Terminale,S,spe_SVT,EMC,1
Terminale,S,spe_SVT,Physique-Chimie,5
Terminale,S,spe_SVT,SVT,4
Terminale,S,spe_SVT,Philo,3
Terminale,S,spe_SVT,Histoire,1
Terminale,S,spe_SVT,Geographie,1
Terminale,S,spe_SVT,spe_SVT,2

Terminale,S,spe_Physique-Chimie,Maths,6
Terminale,S,spe_Physique-Chimie,LV1,2
Terminale,S,spe_Physique-Chimie,LV2,2
Terminale,S,spe_Physique-Chimie,EPS,2
Terminale,S,spe_Physique-Chimie,EMC,1
Terminale,S,spe_Physique-Chimie,Physique-Chimie,5
Terminale,S,spe_Physique-Chimie,SVT,4
Terminale,S,spe_Physique-Chimie,Philo,3
Terminale,S,spe_Physique-Chimie,Histoire,1
Terminale,S,spe_Physique-Chimie,Geographie,1
